"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"find the beauty items your looking for here  (https://t.co/iVhMnKoS4W) shop Amazon today
#amazon #amazonprime… https://t.co/leW0mYcQYP",FALSE,0,NA,2019-10-08 17:39:42,TRUE,NA,"1181625227941466115",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","charity47783722",0,FALSE,FALSE,NA,NA
"RT @TheVinc3ntVega: The new #deadbydaylight Archives aka. battle pass is live for testing. Check out my review. #youtube
https://t.co/qPJXg…",FALSE,0,NA,2019-10-08 17:39:40,FALSE,NA,"1181625218919518208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","APreusz",7,TRUE,FALSE,NA,NA
"RT @MattGielen: How To Make #YouTube #Thumbnails that WILL GET CLICKED: 

https://t.co/3uGAUAis0Z",FALSE,0,NA,2019-10-08 17:39:32,FALSE,NA,"1181625186426265600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katherinesmcd",3,TRUE,FALSE,NA,NA
"Taco Bell anyone?🌮🌮🌮
https://t.co/fTI0uRJ7TT

#tacobell #TacoTuesday #tacos #TacoNation #mukbang #eatwithus… https://t.co/zWzDvwVSPe",FALSE,0,NA,2019-10-08 17:39:32,TRUE,NA,"1181625185423826944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrettyKaiRenee1",0,FALSE,FALSE,NA,NA
"Starting something a little different! Our first episode of Ghost Recon Breakpoint is up now! Check it out and let… https://t.co/OQmbkZLn1I",FALSE,1,NA,2019-10-08 17:39:24,TRUE,NA,"1181625150770417665",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BaxterAndJarvis",0,FALSE,FALSE,NA,NA
"NEW MUSIC!!!
#PlayingGames by #SummerWalker
Auto added to playlist 'r/PopHeads | Daily hot posts'
Available here on… https://t.co/hYdep9R2c5",FALSE,0,NA,2019-10-08 17:39:21,TRUE,NA,"1181625140599300097",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Listige4",0,FALSE,FALSE,NA,NA
"RT @PHE_uk: 📢 ICYMI: A special #EveryMindMatters film, directed by Richard Curtis and narrated by The Duke &amp; Duchess of Cambridge, and The…",FALSE,0,NA,2019-10-08 17:39:13,FALSE,NA,"1181625107501981698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PipTomson",317,TRUE,FALSE,NA,NA
"RT @YTGainTrain: 🚂💭 Daily #YouTube Subscriber Gain Train 🚂💭

✅ Post Your #YouTubeChannel Link ⬇️
✅ Help Other Creators Grow By Offering Adv…",FALSE,0,NA,2019-10-08 17:39:13,FALSE,NA,"1181625107212623872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HyperSpearMan",43,TRUE,FALSE,NA,NA
"New Video. See first 30 minutes of Trine 4 :) 
Subscribe for more. New video tommorow.

TRINE 4 The Nightmare Princ… https://t.co/VmzI8kK2BR",FALSE,2,NA,2019-10-08 17:39:10,TRUE,NA,"1181625092880683008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PSGamePlayX",0,FALSE,FALSE,NA,NA
"Join me at 11AM PST for the return of Kofi Tuesday! We'll hangout, promote my kofi page, work on some projects, and… https://t.co/C4VMqXSMc8",FALSE,4,NA,2019-10-08 17:39:08,TRUE,NA,"1181625083531427842",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","itsatrapppro",2,FALSE,FALSE,NA,NA
"RT @SHVEN7: CHUCKY ON CAMPUS EP.1  #chucky #scary #youtube #SpookySzn https://t.co/F4Mu0Omzas https://t.co/z75z5Zag12",FALSE,0,NA,2019-10-08 17:39:04,FALSE,NA,"1181625069589733376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flytoasiaaa",53,TRUE,FALSE,NA,NA
"I'm watching Xman0824's awesome stream. Come check it out here: https://t.co/UU6pqZsGMU via @WatchMixer If you have… https://t.co/QQJpEstGfX",FALSE,7,NA,2019-10-08 17:38:58,TRUE,NA,"1181625043916189697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Xman_0824",1,FALSE,FALSE,NA,NA
"Call of Duty: Modern Warfare - Official Special Ops Gameplay Reveal Trailer https://t.co/bKH875fNcA via @YouTube… https://t.co/7OudxGKIOg",FALSE,1,NA,2019-10-08 17:38:40,TRUE,NA,"1181624967265505283",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProdigyAfro",0,FALSE,FALSE,NA,NA
"NYC Comic Con 2019 | NYC COSPLAY VLOG https://t.co/YwiCmJHiwY #comiccon #nycc2019 #nycc #comiccon2019 #comicconnyc… https://t.co/8zBTYzpw4r",FALSE,0,NA,2019-10-08 17:38:25,TRUE,NA,"1181624905659539456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","we_do__Stuff",0,FALSE,FALSE,NA,NA
"New video is up so go watch it! 
#Canada #Canadian #comedy #horror #action #MovieReview #movies #TRAILER… https://t.co/m7kRuIwXdS",FALSE,0,NA,2019-10-08 17:38:23,TRUE,NA,"1181624896885084160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CAD1991",0,FALSE,FALSE,NA,NA
"RT @JHB1990_Live: Fifa 20 - Episode  1 - The battle of Fifa has just gone live on youtube. Enjoy.

https://t.co/Pl42kFFmn8

#YouTube #Strea…",FALSE,0,NA,2019-10-08 17:38:20,FALSE,NA,"1181624884553818112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImUnamused",2,TRUE,FALSE,NA,NA
"RT @Mike71Ferguson: From set today      - [ ] #actor #actors #setlife #onset #imbd #actorslife #beards #indefilm  #acting #Youtube #mikefer…",FALSE,0,NA,2019-10-08 17:38:19,FALSE,NA,"1181624878899662848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatilatuti",36,TRUE,FALSE,NA,NA
"RT @Mike71Ferguson: On set creating flat tops - [ ] #actor #actors #setlife #onset #imbd #actorslife #beards #indefilm  #acting #Youtube #m…",FALSE,0,NA,2019-10-08 17:38:16,FALSE,NA,"1181624866417459201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatilatuti",35,TRUE,FALSE,NA,NA
"Don't forget to #Subscribe to our #YouTube channel to be notified when our episodes go live!

UHC Season 3 is now l… https://t.co/MlYdJJay0j",FALSE,1,NA,2019-10-08 17:38:13,TRUE,NA,"1181624855134920704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bexsy86",1,FALSE,FALSE,NA,NA
"RT @Mike71Ferguson: Always great working with your friends #onset #actor #actors #setlife #onset #imbd #actorslife #beards #indefilm  #acti…",FALSE,0,NA,2019-10-08 17:38:13,FALSE,NA,"1181624854920871936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatilatuti",34,TRUE,FALSE,NA,NA
